location_id,state_ut,district,Disease,year,week,Cases,preci,LAI,Temp,Latitude,Longitude
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,27,85,0.167888194885,9.0,308.40000000000003,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,31,37,0.41130478,10.0,303.11,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,33,53,0.41130478,10.0,303.11,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,34,17,0.2070281499,9.0,308.40000000000003,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2011,21,32,0.03010703838,8.0,312.096,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2011,22,42,0.2414661965,7.0,310.4533334,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2011,28,10,0.1299988478,5.0,308.85,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2011,29,10,0.1299988478,5.0,308.85,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2011,43,46,0.0062061692815,12.5,306.505,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2012,21,42,0.1016562317,9.0,314.0666666,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2012,49,31,0.4699738272,14.0,304.37,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2012,50,25,0.3962220285,9.0,302.7133334,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2013,26,48,0.08256184296,6.0,309.6,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2015,28,101,0.009533108693,7.0,307.27,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2015,34,35,0.3022869686,4.0,312.68,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2015,35,23,0.1314551927,4.0,305.06,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2016,24,14,0.296688057,6.0,309.54,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2016,28,42,0.1040768561,9.0,301.12,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2017,14,48,0.001862683483,9.0,313.704,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2017,21,62,0.03940527194,6.0,315.5733334,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2019,27,282,0.2276109761,3.0,313.94,14.4752936,78.8216861
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2010,14,19,0.000686087432,11.0,305.53200000000004,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2011,9,132,0.2278476707,15.0,300.628,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2011,17,106,0.5415081107,7.0,307.94,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2011,51,48,0.03798657977,9.0,302.336,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2013,16,102,0.009029195966,7.0,310.368,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2014,13,31,7.47e-05,15.0,306.15000000000003,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2014,50,25,0.0003007048705,14.0,300.37,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2015,46,25,0.08084867334,9.0,301.012,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2018,14,28,0.01054846624,9.0,305.64,16.21399145,81.02572814
Andhra Pradesh_Krishna_Acute Diarrhoeal Disease,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,2022,18,30,0.001602218663,7.0,308.756,16.21399145,81.02572814
Andhra Pradesh_Kurnool_Acute Diarrhoeal Disease,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,2010,23,22,0.04048025423,9.0,314.225,15.8309251,78.0425373
